countryId,name,code,population_value,population_rank,population_year,surface-area_value,surface-area_rank,surface-area_year,population-density_value,population-density_rank,population-density_year,gdp_value,gdp_rank,gdp_year,gdp-per-capita_value,gdp-per-capita_rank,gdp-per-capita_year,life-expectancy_value,life-expectancy_rank,life-expectancy_year,older-population-share_value,older-population-share_rank,older-population-share_year,urban-population-share_value,urban-population-share_rank,urban-population-share_year,forest-area-share_value,forest-area-share_rank,forest-area-share_year,internet-users_value,internet-users_rank,internet-users_year,tourist-arrivals_value,tourist-arrivals_rank,tourist-arrivals_year,co2-per-capita_value,co2-per-capita_rank,co2-per-capita_year,fertility-rate_value,fertility-rate_rank,fertility-rate_year,unemployment-rate_value,unemployment-rate_rank,unemployment-rate_year,renewable-electricity-share_value,renewable-electricity-share_rank,renewable-electricity-share_year,tertiary-enrollment_value,tertiary-enrollment_rank,tertiary-enrollment_year,employment-agriculture-share_value,employment-agriculture-share_rank,employment-agriculture-share_year,employment-industry-share_value,employment-industry-share_rank,employment-industry-share_year,employment-services-share_value,employment-services-share_rank,employment-services-share_year
albania,Albanija,ALB,2377128.0,32,2024,28750.0,35,2023,88.105657,25,2023,27.046429,37,2024,11377.775743,40,2024,79.776,27,2024,16.922756,38,2024,58.546363,38,2024,28.791971,32,2023,85.863899,42,2024,2658000.0,27,2020,12.356401,44,2020,1.341,30,2024,10.926,4,2025,98.610594,3,2011,84.14962,10,2024,30.772283,2,2025,21.983247,22,2025,47.244394,40,2025
andorra,Andora,AND,81938.0,43,2024,470.0,41,2023,172.034043,12,2023,4.039842,45,2024,49303.649167,17,2024,84.188,5,2024,15.94569,40,2024,88.885004,8,2024,34.042553,21,2023,94.397598,15,2024,5207000.0,19,2020,46.217184,16,2020,1.087,44,2024,,,,93.340391,4,2021,67.676768,33,2024,,,,,,,,,
austria,Avstrija,AUT,9177982.0,18,2024,83879.0,22,2023,110.661185,21,2023,534.79072,14,2024,58268.878765,11,2024,81.995122,20,2024,20.606403,22,2024,69.465818,28,2024,47.240265,8,2023,91.925734,25,2025,15091000.0,11,2020,53.061166,11,2020,1.31,31,2024,5.582,21,2025,79.911428,6,2021,92.612671,7,2024,2.766473,27,2025,24.647493,20,2025,72.586034,20,2025
belarus,Belorusija,BLR,9132629.0,19,2024,207629.0,14,2023,45.217077,38,2023,75.961865,30,2024,8317.633999,43,2024,74.365341,44,2024,17.666564,36,2024,79.155102,17,2024,43.408069,9,2023,94.261821,17,2024,3598000.0,24,2020,46.739258,15,2020,1.217,37,2024,3.38,35,2025,3.146536,43,2021,70.110751,31,2024,9.478375,9,2025,31.058202,5,2025,59.463445,35,2025
belgium,Belgija,BEL,11858610.0,12,2024,30689.0,34,2023,386.303732,5,2023,671.370082,11,2024,56614.56795,13,2024,82.3,17,2024,20.558081,23,2024,87.612656,11,2024,22.604447,33,2023,95.775791,11,2024,2584000.0,28,2020,59.185045,5,2020,1.44,18,2024,5.906,20,2025,23.543157,31,2021,82.14756,13,2023,0.984722,38,2025,19.246675,28,2025,79.768583,7,2025
bosnia-and-herzegovina,Bosna in Hercegovina,BIH,3164253.0,29,2024,51210.0,27,2023,62.208457,34,2023,29.613572,36,2024,9358.78769,41,2024,78.044,33,2024,22.230239,10,2024,52.12243,43,2024,42.732617,10,2023,86.100911,41,2024,197000.0,41,2020,50.498447,13,2020,1.492,11,2024,11.037,3,2025,39.339663,23,2021,45.502762,44,2023,16.708993,4,2025,30.600161,7,2025,52.690846,39,2025
bulgaria,Bolgarija,BGR,6441421.0,22,2024,110996.758,16,2023,59.382793,35,2023,113.343356,25,2024,17596.017366,35,2024,75.760976,42,2024,22.030336,12,2024,73.949936,22,2024,36.219602,15,2023,82.438955,45,2024,4973000.0,21,2020,39.386243,21,2020,1.72,4,2024,3.536,34,2025,22.19181,33,2021,69.546043,32,2024,4.689222,14,2025,27.876401,10,2025,67.434378,27,2025
croatia,Hrvaška,HRV,3866200.0,28,2024,88070.0,20,2023,68.97223,32,2023,92.98381,27,2024,24050.439793,31,2024,78.929268,29,2024,23.187771,7,2024,57.515898,39,2024,34.78574,18,2023,83.6324,43,2024,21608000.0,7,2020,30.885643,34,2020,1.46,15,2024,5.002,24,2025,69.880999,8,2021,81.177521,14,2023,4.327734,16,2025,26.361721,14,2025,69.310606,25,2025
cyprus,Ciper,CYP,1358282.0,38,2024,9250.0,39,2023,145.560173,14,2023,37.634533,34,2024,38674.292969,21,2024,81.821,23,2024,14.616184,44,2024,66.682426,31,2024,18.665584,35,2023,89.600992,30,2024,4117000.0,23,2019,43.775984,18,2020,1.38,26,2024,4.924,25,2025,15.134987,37,2021,120.877274,2,2024,2.154609,33,2025,16.268876,37,2025,81.576515,4,2025
czechia,Češka,CZE,10905028.0,13,2024,78871.43,23,2023,140.785548,15,2023,347.034063,18,2024,31823.307829,24,2024,79.978049,26,2024,20.845384,19,2024,72.794798,23,2024,34.762388,19,2023,87.68776,39,2024,37202000.0,4,2019,66.43214,3,2020,1.36,29,2024,2.825,39,2025,14.02349,38,2021,66.728287,34,2023,2.708943,28,2025,34.894383,1,2025,62.396674,32,2025
